file_number,RCH_start_gt,RCH_end_gt,AP_start_gt,AP_end_gt,RCH_start_pred,RCH_end_pred,AP_start_pred,AP_end_pred
20,0,2540,18852,21036,178.0,2524.0,18852.0,20751.0
21,708,6869,9446,13636,728.0,5956.0,9422.0,13472.0
22,1901,3025,6159,9582,113.0,1760.0,6159.0,9576.0
23,0,1219,13660,14203,,,,
24,0,3143,5596,9691,202.0,3060.0,5596.0,9452.0
25,0,1977,4687,5881,136.0,4866.0,4687.0,5614.0
26,183,1765,13310,14406,878.0,1759.0,13310.0,14406.0
27,2,2935,21146,23006,80.0,2646.0,21144.0,22911.0
28,0,6367,10737,12680,273.0,6354.0,10737.0,12676.0
29,0,1833,16176,18532,0.0,1850.0,16176.0,18416.0
30,2644,3412,7794,9438,78.0,3156.0,7794.0,9428.0
31,0,3722,7577,11143,225.0,3352.0,7577.0,11148.0
32,0,4521,20036,24331,0.0,2691.0,20036.0,24354.0
33,0,3080,8662,11037,0.0,3073.0,8662.0,11028.0
34,0,3480,16947,19157,216.0,4449.0,16947.0,19168.0
35,579,4272,6494,9009,595.0,3198.0,6466.0,8981.0
36,0,2157,11190,13856,0.0,2171.0,11190.0,13765.0
37,0,2652,7908,10271,0.0,2643.0,7908.0,10461.0
38,0,765,11165,12346,0.0,836.0,11165.0,12336.0
39,0,1915,5441,7768,514.0,862.0,5441.0,8251.0
